                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.68702,                0.75068,                 0.5465,                 0.9427,                0.86834,                0.80212,                0.87716,                0.70995,                 0.8752,                0.80763,                0.88408,                0.68493,                0.73929,                0.83133,                0.63022,                0.97668,             0.00063271,             0.00063271,             0.00063271
                     26,                0.67568,                0.75066,                0.56327,                0.91719,                0.78724,                0.69545,                0.76927,                0.62343,                0.77246,                0.70529,                0.77415,                0.59499,                0.77304,                0.88592,                0.91123,                0.99563,             0.00062918,             0.00062918,             0.00062918
                     27,                0.68335,                0.74907,                0.53822,                 0.9393,                0.83812,                0.74953,                0.84915,                0.68185,                0.87227,                0.72879,                0.85967,                0.65586,                0.77495,                0.88654,                0.72021,                 1.0073,             0.00062564,             0.00062564,             0.00062564
                     28,                0.68769,                0.69776,                0.55445,                0.93177,                0.82131,                0.85188,                0.87949,                0.70741,                0.84047,                0.87249,                0.89898,                0.67491,                0.71024,                0.79964,                0.62374,                0.96932,             0.00062211,             0.00062211,             0.00062211
                     29,                0.69039,                0.73982,                0.53338,                0.91541,                0.83816,                0.82614,                0.87892,                0.69209,                0.84649,                0.84322,                0.88304,                 0.6719,                0.77378,                0.85703,                0.68108,                0.99025,             0.00061857,             0.00061857,             0.00061857
                     30,                0.64114,                0.69245,                0.48494,                0.89047,                0.81813,                0.78395,                0.85557,                0.69932,                0.82211,                0.80149,                0.87449,                0.67091,                0.74785,                0.92316,                0.67903,                0.99255,             0.00061504,             0.00061504,             0.00061504
                     31,                0.65976,                 0.7184,                0.53497,                0.91618,                0.82727,                0.81419,                  0.855,                0.69828,                 0.8442,                0.82712,                0.87386,                 0.6694,                0.79462,                0.93522,                0.68162,                  1.025,             0.00061151,             0.00061151,             0.00061151
                     32,                0.63241,                 0.6923,                 0.4993,                0.88716,                   0.82,                0.84864,                0.86954,                0.70833,                0.84052,                0.86443,                0.88712,                0.69289,                0.73064,                0.79029,                0.62624,                0.96632,             0.00060797,             0.00060797,             0.00060797
                     33,                0.66746,                0.71285,                0.52482,                0.91855,                0.88414,                0.85742,                0.90537,                0.74912,                0.90753,                0.87316,                0.92744,                 0.7279,                0.70009,                0.76688,                0.55562,                0.96173,             0.00060444,             0.00060444,             0.00060444
                     34,                0.62215,                0.66815,                 0.4602,                0.88872,                0.79158,                0.76341,                0.84482,                0.68923,                0.79136,                0.78009,                0.85447,                 0.6509,                 0.7148,                0.78637,                0.72121,                0.96504,              0.0006009,              0.0006009,              0.0006009
                     35,                 0.6487,                0.70235,                0.48534,                0.90683,                0.87394,                0.81271,                 0.8741,                0.71678,                0.87422,                0.83482,                0.89192,                0.68932,                0.78475,                0.95169,                0.64528,                 1.0081,             0.00059737,             0.00059737,             0.00059737
                     36,                0.65201,                0.69426,                0.49685,                0.91258,                0.79209,                0.76781,                0.81096,                 0.6659,                0.80971,                0.76418,                0.81808,                0.64187,                0.72318,                0.82357,                 0.8306,                0.96533,             0.00059383,             0.00059383,             0.00059383
                     37,                0.62377,                0.66296,                0.47785,                0.89319,                0.87549,                0.85729,                0.91824,                0.75671,                0.88781,                0.86956,                0.93323,                0.73433,                0.70842,                0.81776,                0.55524,                0.96422,              0.0005903,              0.0005903,              0.0005903
                     38,                 0.6535,                0.75588,                0.46725,                 0.8857,                0.86641,                0.89666,                 0.9225,                 0.7597,                0.87982,                0.91005,                0.93449,                0.74791,                0.72422,                0.79115,                0.52034,                0.96933,             0.00058677,             0.00058677,             0.00058677
                     39,                 0.6097,                0.64846,                0.44418,                0.88191,                0.87256,                0.89423,                0.91165,                0.74844,                0.90935,                0.88465,                0.93188,                0.73116,                0.69152,                0.75969,                 0.5249,                0.95794,             0.00058323,             0.00058323,             0.00058323
