                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.22556,                0.30368,                0.08173,                0.93375,                0.94523,                0.96054,                0.78904,                0.21241,                0.34529,                0.08764,             0.00044696,             0.00044696,             0.00044696
                     37,                0.20158,                0.31276,                 0.0736,                0.95124,                0.97153,                0.98027,                0.81683,                0.20351,                0.29937,                0.08298,             0.00043911,             0.00043911,             0.00043911
                     38,                0.20317,                0.29508,                0.07174,                0.96784,                0.95648,                0.97885,                0.81216,                0.20076,                0.31324,                 0.0828,             0.00043126,             0.00043126,             0.00043126
                     39,                 0.2049,                0.30173,                0.07231,                0.94677,                0.95834,                0.97765,                0.81298,                0.21025,                0.31057,                0.08574,              0.0004234,              0.0004234,              0.0004234
                     40,                0.19159,                0.28697,                 0.0693,                0.94728,                0.96853,                0.97906,                 0.8153,                0.20429,                0.31144,                0.08488,             0.00041555,             0.00041555,             0.00041555
                     41,                0.19147,                0.29871,                0.07046,                0.95341,                0.97264,                0.97996,                0.81821,                0.20345,                0.29536,                0.08388,             0.00040769,             0.00040769,             0.00040769
                     42,                0.18286,                0.28204,                 0.0672,                0.95162,                 0.9673,                0.97719,                0.81742,                0.20188,                0.29958,                0.08473,             0.00039984,             0.00039984,             0.00039984
                     43,                    0.2,                0.29607,                0.06515,                0.93163,                0.95992,                 0.9714,                 0.8095,                0.19853,                0.33532,                0.08162,             0.00039199,             0.00039199,             0.00039199
                     44,                0.19693,                0.28874,                0.07022,                0.94603,                0.97547,                0.97949,                0.82179,                0.19514,                 0.2982,                0.07936,             0.00038413,             0.00038413,             0.00038413
                     45,                0.18128,                0.27381,                0.06373,                0.95294,                0.96979,                0.97914,                0.82145,                0.19681,                0.29932,                0.08044,             0.00037628,             0.00037628,             0.00037628
                     46,                0.18851,                0.30044,                 0.0654,                0.93829,                0.98011,                0.98061,                0.81981,                0.20253,                0.32049,                0.08258,             0.00036842,             0.00036842,             0.00036842
                     47,                0.18715,                0.28291,                0.06986,                0.95558,                0.97127,                0.98223,                0.81967,                0.20344,                0.29356,                0.08544,             0.00036057,             0.00036057,             0.00036057
                     48,                0.17734,                0.27836,                0.06195,                0.94925,                0.97299,                0.98202,                0.83234,                0.19531,                0.29642,                0.08158,             0.00035272,             0.00035272,             0.00035272
                     49,                0.18561,                0.27754,                 0.0628,                0.96168,                0.96322,                0.97996,                 0.8269,                0.19728,                0.29685,                0.08281,             0.00034486,             0.00034486,             0.00034486
                     50,                0.18814,                0.28012,                0.07185,                0.95227,                0.97294,                0.98189,                0.83729,                0.18923,                0.29682,                 0.0796,             0.00033701,             0.00033701,             0.00033701
                     51,                0.17228,                0.26758,                0.06015,                0.94834,                0.97923,                0.97928,                0.82803,                0.19631,                0.28906,                0.08152,             0.00032915,             0.00032915,             0.00032915
                     52,                0.16838,                0.26094,                0.06046,                0.95121,                 0.9658,                 0.9798,                0.82914,                0.19304,                0.29513,                0.08384,              0.0003213,              0.0003213,              0.0003213
                     53,                0.17617,                0.27256,                0.06093,                0.94529,                 0.9636,                0.97793,                0.82694,                0.19782,                0.30386,                0.08476,             0.00031345,             0.00031345,             0.00031345
                     54,                 0.1729,                0.26448,                0.06109,                0.94392,                0.97264,                0.97963,                0.83413,                 0.1932,                0.29757,                0.08358,             0.00030559,             0.00030559,             0.00030559
                     55,                0.16902,                0.26032,                0.05838,                0.95673,                 0.9575,                0.97909,                0.83063,                0.19596,                0.29597,                0.08411,             0.00029774,             0.00029774,             0.00029774
                     56,                0.16957,                0.26993,                0.05602,                0.94954,                0.96572,                 0.9793,                0.83575,                0.19146,                0.29568,                0.08442,             0.00028988,             0.00028988,             0.00028988
                     57,                0.16807,                0.25474,                0.05811,                0.94965,                0.97079,                0.98244,                0.83924,                0.19337,                0.29458,                0.08296,             0.00028203,             0.00028203,             0.00028203
                     58,                0.16734,                0.26065,                0.05059,                 0.9587,                0.96058,                0.97816,                0.82988,                0.20108,                0.29646,                0.08881,             0.00027418,             0.00027418,             0.00027418
                     59,                0.16083,                0.26151,                0.05628,                0.95576,                0.96004,                0.97816,                0.83438,                0.19612,                 0.2906,                 0.0867,             0.00026632,             0.00026632,             0.00026632
                     60,                0.16528,                0.25342,                0.05732,                 0.9615,                0.96153,                0.97991,                 0.8381,                0.19328,                0.28293,                0.08495,             0.00025847,             0.00025847,             0.00025847
                     61,                0.16538,                0.24978,                0.05401,                0.95976,                 0.9637,                0.97981,                0.83405,                0.19057,                0.28899,                0.08287,             0.00025061,             0.00025061,             0.00025061
                     62,                0.16044,                0.25645,                0.05576,                0.95198,                0.96597,                0.97899,                0.83245,                0.18983,                0.29854,                0.08206,             0.00024276,             0.00024276,             0.00024276
                     63,                0.16351,                0.25331,                0.05664,                0.94757,                0.97616,                0.97836,                0.83603,                0.18975,                0.29275,                 0.0834,             0.00023491,             0.00023491,             0.00023491
                     64,                0.15794,                0.24856,                0.05162,                0.95971,                0.96138,                0.98019,                0.84161,                0.18818,                0.28678,                0.08218,             0.00022705,             0.00022705,             0.00022705
                     65,                0.15224,                0.24841,                0.05312,                0.95305,                0.96396,                 0.9787,                0.83634,                0.19359,                0.29016,                0.08675,              0.0002192,              0.0002192,              0.0002192
                     66,                0.15423,                0.24147,                0.05217,                0.95733,                0.95838,                0.97701,                 0.8377,                0.19038,                0.28927,                0.08483,             0.00021134,             0.00021134,             0.00021134
                     67,                0.14412,                0.23482,                0.04857,                0.96211,                0.96616,                0.98129,                0.83445,                0.19188,                0.28605,                0.08428,             0.00020349,             0.00020349,             0.00020349
                     68,                0.14906,                0.23938,                0.05127,                0.95091,                 0.9726,                0.97951,                0.83857,                 0.1898,                0.28699,                0.08245,             0.00019564,             0.00019564,             0.00019564
                     69,                0.15854,                 0.2377,                0.05189,                0.94335,                0.97789,                0.98076,                0.84014,                0.18818,                0.28512,                0.08237,             0.00018778,             0.00018778,             0.00018778
                     70,                0.14477,                0.23165,                0.04929,                0.95414,                0.96096,                0.97431,                0.83801,                0.19097,                0.29158,                0.08434,             0.00017993,             0.00017993,             0.00017993
                     71,                0.14392,                0.23579,                0.04657,                 0.9579,                0.96421,                0.97862,                  0.838,                0.18941,                0.28594,                0.08407,             0.00017207,             0.00017207,             0.00017207
                     72,                0.14118,                0.23408,                0.04563,                0.95853,                0.96515,                0.97951,                0.84137,                0.18641,                0.28446,                0.08136,             0.00016422,             0.00016422,             0.00016422
                     73,                0.14311,                0.23279,                0.04825,                0.95758,                0.96698,                0.98164,                0.84025,                0.18841,                 0.2908,                0.08293,             0.00015637,             0.00015637,             0.00015637
                     74,                 0.1424,                0.22857,                0.04485,                0.95288,                0.97513,                0.98195,                0.84293,                0.18538,                0.28841,                0.07956,             0.00014851,             0.00014851,             0.00014851
                     75,                0.13234,                0.21791,                0.04329,                0.95848,                0.96602,                0.97968,                0.84011,                0.18656,                0.28678,                0.08003,             0.00014066,             0.00014066,             0.00014066
                     76,                0.13914,                 0.2195,                  0.046,                0.96186,                0.96026,                0.98002,                 0.8404,                0.18639,                0.29461,                0.08174,              0.0001328,              0.0001328,              0.0001328
                     77,                0.14009,                0.21943,                0.04551,                0.96258,                0.96234,                0.98165,                0.84048,                0.18773,                0.29136,                0.08415,             0.00012495,             0.00012495,             0.00012495
                     78,                0.13219,                0.21302,                0.04119,                0.95588,                0.96452,                0.98142,                0.84245,                0.18804,                0.30062,                0.08287,              0.0001171,              0.0001171,              0.0001171
                     79,                0.13636,                0.21878,                0.04211,                 0.9604,                 0.9671,                0.98406,                0.84765,                0.18045,                0.29195,                0.07806,             0.00010924,             0.00010924,             0.00010924
                     80,                 0.1271,                0.21534,                0.04231,                0.95715,                0.96586,                0.98256,                0.84511,                0.18618,                0.29658,                0.08277,             0.00010139,             0.00010139,             0.00010139
                     81,                0.12604,                0.20438,                 0.0396,                0.96031,                0.96731,                 0.9815,                0.84508,                0.18338,                0.29604,                0.07991,             9.3534e-05,             9.3534e-05,             9.3534e-05
                     82,                0.12647,                0.20517,                 0.0384,                0.96092,                0.96614,                0.98078,                0.84349,                0.18366,                0.29266,                0.07948,              8.568e-05,              8.568e-05,              8.568e-05
                     83,                0.12835,                0.20687,                0.04556,                0.96759,                0.96383,                0.98392,                0.84695,                0.18036,                0.28793,                0.07671,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     84,                0.12929,                0.20917,                 0.0402,                0.95949,                0.96373,                0.98153,                0.84525,                0.18549,                 0.2913,                0.08123,             6.9972e-05,             6.9972e-05,             6.9972e-05
                     85,                0.13221,                0.20868,                 0.0446,                0.96236,                0.96075,                0.98024,                0.84825,                0.18556,                  0.293,                0.08077,             6.2118e-05,             6.2118e-05,             6.2118e-05
                     86,                0.12083,                 0.2034,                0.04092,                0.96161,                0.96732,                0.98239,                0.84834,                0.18637,                 0.2943,                0.08079,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     87,                0.12176,                0.19819,                0.04002,                0.96259,                0.96663,                0.98232,                0.84873,                0.18262,                0.29629,                0.07994,              4.641e-05,              4.641e-05,              4.641e-05
                     88,                0.12412,                0.20409,                0.04337,                0.95906,                0.96309,                0.98025,                0.84663,                0.18698,                 0.2933,                0.08375,             3.8556e-05,             3.8556e-05,             3.8556e-05
                     89,                 0.1195,                0.20241,                 0.0393,                0.95988,                0.96212,                0.98149,                0.84668,                0.18649,                0.29494,                0.08341,             3.0702e-05,             3.0702e-05,             3.0702e-05
                     90,                0.11694,                0.19527,                0.03555,                0.95972,                0.96154,                0.98195,                0.84925,                0.18404,                0.30055,                0.08114,             2.2848e-05,             2.2848e-05,             2.2848e-05
